2026-01-05 11:16:22.074 [main] INFO  c.javaweb.SmartManagementApplication - Starting SmartManagementApplication using Java 21.0.9 with PID 15380 (E:\Code\java\smart-parent\smart-web-manager\target\classes started by QiaoZ in E:\Code\java\smart-parent)
2026-01-05 11:21:04.971 [http-nio-8080-exec-10] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
2026-01-05 11:21:05.238 [http-nio-8080-exec-2] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /report/empGenderData
2026-01-05 11:21:05.239 [http-nio-8080-exec-2] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
2026-01-05 11:21:05.300 [http-nio-8080-exec-1] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /report/studentCountData
2026-01-05 11:21:05.301 [http-nio-8080-exec-1] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
2026-01-05 11:21:05.359 [http-nio-8080-exec-4] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /report/studentDegreeData
2026-01-05 11:21:05.361 [http-nio-8080-exec-4] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
2026-01-05 11:21:05.637 [http-nio-8080-exec-3] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /log/page
2026-01-05 11:21:05.639 [http-nio-8080-exec-3] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
2026-01-05 11:21:06.180 [http-nio-8080-exec-5] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /clazzs
2026-01-05 11:21:06.182 [http-nio-8080-exec-5] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
2026-01-05 11:21:06.184 [http-nio-8080-exec-5] INFO  c.javaweb.controller.ClazzController - 分页查询：,null,null,1,10
2026-01-05 11:21:06.498 [http-nio-8080-exec-7] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /emps/list
2026-01-05 11:21:06.500 [http-nio-8080-exec-7] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
2026-01-05 11:21:08.474 [http-nio-8080-exec-6] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /clazzs/list
2026-01-05 11:21:08.474 [http-nio-8080-exec-8] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /students
2026-01-05 11:21:08.476 [http-nio-8080-exec-8] INFO  c.j.i.LoginCheckInterceptor - 令牌解析成功: {id=1, username=admin, exp=1767626237}
